Gene,Actual,Predict
alr,1,1
alr,1,1
alr,1,1
alr,1,1
dfp,1,1
dfp,1,1
dfp,1,1
dfp,1,1
ackA,1,1
ackA,1,1
ackA,1,1
ackA,1,1
adk,1,1
adk,1,1
adk,1,1
adk,1,1
alaS,1,1
alaS,1,1
alaS,1,1
alaS,1,1
araD,1,1
araD,1,1
araD,1,1
araD,1,1
argS,1,1
argS,1,1
argS,1,1
argS,1,1
asnS,1,1
asnS,1,1
asnS,1,1
asnS,1,1
aspS,0,1
aspS,1,1
aspS,1,1
aspS,1,1
birA,1,1
birA,1,1
birA,0,1
birA,0,1
cdsA,1,1
cdsA,1,1
cdsA,1,1
cdsA,1,1
lnt,0,1
lnt,1,1
lnt,1,1
lnt,1,1
cysE,0,1
cysE,0,1
cysE,1,1
cysE,1,1
cysS,1,1
cysS,1,1
cysS,1,1
cysS,1,1
dapA,0,1
dapA,1,1
dapA,1,1
dapA,1,1
dapB,1,1
dapB,1,1
dapB,0,1
dapB,0,1
dapD,1,1
dapD,1,1
dapD,1,1
dapD,1,1
dapE,1,1
dapE,1,1
dapE,0,1
dapE,1,1
ddlB,1,1
ddlB,1,1
ddlB,1,1
ddlB,1,1
accD,1,1
accD,1,1
accD,1,1
accD,1,1
dicA,1,1
dicA,1,1
dksA,1,1
dksA,1,1
dksA,1,1
dksA,1,1
dnaA,1,1
dnaA,1,1
dnaA,1,1
dnaA,1,1
dnaB,1,1
dnaB,1,1
dnaB,1,1
dnaB,1,1
dnaC,1,1
dnaC,1,1
dnaC,1,1
dnaC,1,1
dnaE,1,1
dnaE,1,1
dnaE,1,1
dnaE,1,1
dnaG,1,1
dnaG,1,1
dnaG,1,1
dnaK,1,1
dnaK,1,1
dnaK,0,1
dnaK,0,1
dnaN,1,1
dnaN,1,1
dnaN,1,1
dnaN,1,1
dnaT,1,1
dnaT,1,1
dnaT,1,1
dnaT,1,1
dnaX,1,1
dnaX,0,1
dnaX,1,1
dnaX,1,1
dut,1,1
dut,1,1
dut,1,1
dut,1,1
eno,1,1
eno,1,1
eno,1,1
eno,1,1
lpxC,1,1
lpxC,1,1
lpxC,1,1
lpxC,1,1
era,1,1
era,0,1
era,1,1
era,1,1
fabA,1,1
fabA,1,1
fabA,1,1
fabB,1,1
fabB,1,1
fabB,1,1
fabB,1,1
accB,1,1
accB,1,1
accB,1,1
accB,1,1
accC,1,1
accC,1,1
accC,1,1
accC,1,1
fabH,1,1
fabH,1,1
fabH,1,1
fabH,1,1
fbaA,1,1
fbaA,1,1
fbaA,1,1
fbaA,1,1
ffh,1,1
ffh,1,1
ffh,1,1
ffh,1,1
lpxD,1,1
lpxD,1,1
lpxD,1,1
lpxD,1,1
folA,1,1
folA,1,1
folA,1,1
folA,1,1
folC,1,1
folC,1,1
folC,1,1
folC,1,1
folD,1,1
folD,1,1
folD,1,1
folD,1,1
frr,1,1
frr,1,1
frr,1,1
frr,1,1
ftsA,1,1
ftsA,1,1
ftsA,1,1
ftsA,1,1
ftsI,1,1
ftsI,1,1
ftsI,1,1
ftsI,0,1
ftsQ,1,1
ftsQ,1,1
ftsQ,1,1
ftsQ,1,1
ftsQ,1,1
ftsW,1,1
ftsW,1,1
ftsW,1,1
ftsW,1,1
ftsY,0,1
ftsY,1,1
ftsY,1,1
ftsY,1,1
ftsZ,1,1
ftsZ,1,1
ftsZ,1,1
ftsZ,1,1
fusA,1,1
fusA,1,1
fusA,1,1
gapA,1,1
gapA,1,1
gapA,1,1
gapA,1,1
glnG,1,1
glnG,1,1
glnG,1,1
glnG,1,1
glnL,1,1
glnL,1,1
glnL,0,1
glnL,1,1
glnL,1,1
glnL,1,1
glnL,1,1
glnL,1,1
glnS,1,1
glnS,1,1
glnS,1,1
glnS,1,1
gltX,1,1
gltX,1,1
gltX,1,1
gltX,1,1
glyA,1,1
glyA,0,1
glyA,1,1
glyA,1,1
glyQ,1,1
glyQ,1,1
glyQ,1,1
glyQ,1,1
glyS,1,1
glyS,1,1
glyS,1,1
glyS,1,1
gyrA,1,1
gyrA,1,1
gyrA,1,1
gyrA,1,1
gyrB,1,1
gyrB,1,1
gyrB,1,1
gyrB,1,1
hemA,1,1
hemA,1,1
hemA,1,1
hemA,1,1
hfq,1,1
hfq,1,1
hfq,1,1
ihfA,1,1
ihfA,1,1
hisS,1,1
hisS,1,1
hisS,1,1
hisS,1,1
hlpA,1,1
hlpA,1,1
hlpA,1,1
hlpA,1,1
degP,1,1
degP,1,1
degP,1,1
degP,1,1
lpxL,1,1
lpxL,1,1
lpxL,1,1
lpxL,1,1
ileS,1,1
ileS,1,1
ileS,1,1
ileS,1,1
infA,1,1
infA,1,1
infA,1,1
infB,1,1
infB,1,1
infB,1,1
infB,1,1
infC,1,1
infC,1,1
kdsA,1,1
kdsA,1,1
kdsA,1,1
kdsA,1,1
kdsB,1,1
kdsB,1,1
kdsB,1,1
kdsB,1,1
waaA,1,1
waaA,1,1
waaA,1,1
waaA,1,1
lepA,1,1
lepA,1,1
lepA,1,1
lepA,1,1
lepB,1,1
lepB,1,1
lepB,1,1
lepB,1,1
leuS,1,1
leuS,1,1
leuS,1,1
leuS,1,1
lpxA,1,1
lpxA,1,1
lpxA,1,1
lpxA,1,1
lpxB,1,1
lpxB,1,1
lpxB,1,1
lpxB,1,1
lspA,1,1
lspA,1,1
lspA,1,1
lspA,1,1
lysS,1,1
lysS,1,1
lysS,1,1
lysS,1,1
lysS,1,1
metG,1,1
metG,1,1
metG,1,1
metG,0,1
metK,1,1
metK,1,1
metK,1,1
metK,1,1
groS,1,1
groS,1,1
groS,0,1
groS,1,1
mraY,1,1
mraY,1,1
mraY,1,1
mrdA,1,1
mrdA,1,1
mrdA,0,1
mrdA,1,1
mreB,1,1
mreB,1,1
mreB,1,1
mreB,1,1
mreC,1,1
mreC,1,1
mreC,1,1
mreC,1,1
mreD,0,1
mreD,1,1
mreD,1,1
mreD,1,1
msbA,1,1
msbA,1,1
msbA,1,1
msbA,1,1
msbA,1,1
mukB,1,1
mukB,1,1
mukB,1,1
mukB,0,1
murC,1,1
murC,1,1
murC,1,1
murC,1,1
murD,1,1
murD,1,1
murD,1,1
murD,1,1
murE,1,1
murE,1,1
murE,1,1
murE,1,1
murF,1,1
murF,1,1
murF,1,1
murF,1,1
murG,1,1
murG,1,1
murG,1,1
murG,1,1
nusA,1,1
nusA,1,1
nusA,1,1
nusA,1,1
nusB,1,1
nusB,1,1
nusB,1,1
