Gene_name,Distance1,Distance2,delta distance,logFC,logFC2
cydC,117,93,-24,0.542382041527144,3.27531078764259
mepM,47,28,-19,0.0136866961634289,2.43057730967844
mepM,28,27,-1,2.43057730967844,-0.157829318418195
alaS,75,25,-50,5.23160328465934,8.30536876893461
appY,135,136,1,1.32437173180237,4.21888810238693
argS,35,43,8,7.95673096623248,4.50881170998951
asnC,-1,-15,-14,-0.0375489979969562,2.31121123969688
asnS,31,21,-10,3.28427967894404,5.55456941369874
aspS,180,121,-59,0.0754665212792258,7.19229462311134
aspS,121,37,-84,7.19229462311134,5.14893010273505
aspS,37,36,-1,5.14893010273505,9.32886874984562
bcp,9,19,10,0.393716149471301,3.45177051209305
bglF,140,139,-1,2.66677010640951,-0.034167864903967
birA,16,21,5,2.27196827980051,5.47491223907847
btuB,70,74,4,-0.290460179720246,2.09873074555338
btuE,102,72,-30,-0.0111766924587608,2.36336399181508
btuE,72,54,-18,2.36336399181508,0.000312538669802387
cadB,51,39,-12,8.20292308151504,-0.0999693527403834
lnt,89,66,-23,0.0293440367589443,6.42204887202244
dapA,132,99,-33,-0.526972434322536,3.18537225992712
dapA,35,-1,-36,1.32304624091369,4.75187869537031
accD,43,42,-1,7.65439855605428,9.68197498125037
accD,42,39,-3,9.68197498125037,5.60600152999408
dnaA,53,34,-19,8.45908610766098,6.30035675871188
dnaA,34,33,-1,6.30035675871188,3.66674039967236
dnaB,43,44,1,6.68774413048677,4.0013255632332
dnaB,57,67,10,8.57138547253586,4.24246758633693
dnaC,118,52,-66,9.71407310599615,6.04400778419695
dnaC,47,19,-28,6.29297259962701,3.01111014061228
dnaG,17,18,1,6.63097975418204,4.42047096853564
dnaN,83,74,-9,6.15393840390218,3.57779382236001
dnaN,59,-1,-60,4.4642192033398,8.5302959325214
dnaT,23,22,-1,6.00494070682644,3.52808002522175
dnaT,21,9,-12,3.71972429180963,8.29570758023242
dnaX,22,23,1,8.06931559241101,2.16211176945428
dut,32,33,1,6.35821116804679,3.53669532779142
dut,54,59,5,1.7356923259366,4.85452605739257
eno,46,45,-1,2.28242648112565,5.2776751010745
era,112,102,-10,2.81730404677292,0.0626676983699101
era,102,50,-52,0.0626676983699101,3.96284106628761
fabA,45,37,-8,0.0454795158543561,5.14415563700738
fabB,67,55,-12,0.432500893968966,6.02137414775212
fabB,55,39,-16,6.02137414775212,2.17749810319678
fabB,39,25,-14,2.17749810319678,4.49502301260927
accB,101,111,10,3.41180860769733,6.52781116403107
accC,159,165,6,1.97535991318309,4.19235655396089
