Gene name,# sgRNA,Mean LR,Median LR
alr,4,-0.08579268931884976,-0.0110056311507385
modB,4,0.0313945620658477,0.0371869123855409
cysZ,4,-0.056203832746675605,-0.08055725347096321
dfp,4,-0.5721163200742954,0.0785821740526998
dcuB,4,-0.08335123435037949,0.07740562005852605
hisM,4,0.14333799628177596,0.08930097109096725
zraS,4,0.0937016996976742,0.09099727891260875
rhsE,4,0.3248217278646195,0.16075193949273348
yaaA,4,0.029914818148581976,0.08715416103747195
cydC,4,-1.649224998928056,-1.389603583271245
mepM,4,-0.4520638257997481,0.07207131112738305
acrD,4,0.18793137446413233,0.17144738812169952
rodZ,4,-0.512033418042809,-0.48354777820039996
garL,4,-0.14246202212805215,-0.08509149307820535
ispB,3,-1.4744222419761546,-1.77091308298611
csrD,4,0.07917363990048554,0.0653133871248466
cpxR,4,0.13051776477995222,0.09224653794446555
yjiA,4,-0.0860176025704973,-0.11209473292091064
aceA,4,-0.23790302907268265,-0.171467122842562
aceB,4,0.2622349805881856,0.29607976081374726
aceE,4,-3.1473102878581676,-3.2389097131163798
aceF,3,-2.647187207842197,-2.52367238074327
aceK,4,0.13368508034956,0.14497776171246401
ackA,4,-1.4140244292937438,-1.2154211199094793
pflA,4,0.1352800835026581,0.12120934304049878
ada,4,0.04535609655600949,0.19146194615248852
add,4,-0.23445789284261664,-0.16054178724393345
adhE,4,0.056708097001116946,0.054190097877190896
adk,1,-6.26266736523387,-6.26266736523387
agp,4,0.05912794084227575,0.1555298064076775
alaS,4,-6.493695468518977,-6.21890491024098
aldA,4,-0.08982178306292998,-0.08007996653091999
puuC,4,0.047954813673880534,-0.012818840788095951
alkB,4,0.02232347747184915,0.08558585047659781
amn,4,-0.22105130681950275,-0.23163777460690152
ampC,4,0.010906573245210101,-0.0163950611010553
ampD,4,0.08051263282671611,0.10314635740376565
ampE,3,0.10758084410610458,-0.0325013141049283
cysQ,4,0.018645948412886006,-0.009166835158365399
osmE,4,-0.105635965624046,-0.100982469379859
ansA,4,0.014670844767803773,0.00397086548143355
ansB,4,-0.1156451086202272,-0.13162435935011535
apaG,4,-0.507158941549836,-0.456232514420771
apaH,4,0.366733468784993,0.3522291228432795
appA,4,0.002014361854968831,0.0034301290584118653
appY,3,-1.914639956811184,-1.32437173180237
apt,4,-0.15793118521411526,-0.157951886653377
araA,4,-0.7972633895185682,-0.41121975318617154
araB,4,-0.22662443802706272,-0.1818511368963985
araC,4,0.7349880983330218,0.7910626998423844
araD,4,-0.7579138332326032,-0.6506233179462986
araE,4,0.07152028023602482,0.11718248155901115
araF,4,-0.059662259514496135,-0.07934743101996225
araG,4,0.09351528187373756,0.09427656506983825
araH,4,0.08609662976398999,0.219122364351822
araJ,4,0.12947301707682507,0.1366570886339361
arcA,4,-2.1137869491807377,-1.969792265132695
arcB,1,0.0908950074434167,0.0908950074434167
argA,4,0.013172151705176003,-0.004887287340622495
argB,3,-0.3418821308065593,-0.204837621879322
argC,4,-0.11312680459727005,-0.1129697960705696
argD,4,0.1468296383535876,0.18227887092777667
argF,4,-0.39828610606469905,-0.10281999001828672
argG,4,0.16490520969482075,0.07319507559810935
argI,4,0.07567430235177955,0.06379404591703955
argR,3,-0.6236373453590512,-0.476430436987377
argS,4,-7.116860384530939,-7.711965441055405
argT,4,0.21524428609250407,0.18330652442422835
aroA,4,0.015249100211552498,0.025960932847542
aroB,4,-1.2391874169896775,-1.25112496878831
aroC,4,0.06417004817620676,0.09547909115367201
aroD,4,-0.09250537527747374,-0.1575702598117985
aroE,4,-0.43632967516959903,-0.34371327625342296
aroF,4,0.026792718621739937,0.1117199093532219
aroG,4,0.1510003007935975,0.2784556637076855
aroH,4,0.11394951370650436,0.08749274261948345
aroK,4,-1.9278380796441075,-1.9101797342850149
aroL,4,0.16831103198394248,0.11725540714585535
aroM,4,0.143912008890261,0.20098571927647702
aroP,4,0.11720958315415862,0.08804522791770669
ascB,4,0.2635383582149651,0.37510838306849204
ascF,4,0.07039198270585417,0.02624811922993335
ascG,4,0.20441423326507724,0.2059923197329705
asd,4,-0.22657368219971818,-0.1996976070176565
aslA,4,-0.01911400131677398,0.06290592223996855
aslB,4,0.043380831855520254,0.065503961469623
asnA,4,0.10437910327872227,0.12948465652572425
asnB,4,0.023538031631848748,0.072535887210966
asnC,5,-0.48297379398125495,-0.0348548841960391
asnS,4,-4.324996102450798,-4.230567658580205
aspA,4,0.10362320148476645,0.08876936790246584
aspC,4,0.06577952481566102,0.039587906274976034
aspS,4,-5.4363899992428095,-6.170612362923195
atpA,4,0.08262752250321784,0.08269353660386534
