"","T0","T4","T8","Tend"
"13",0,0.284960894414431,1.11966686810364,1
"36",0,0.724214430726109,0.990336309214075,1
"37",0,0.880569795387221,1,1
"40",0,0.791991101536023,1.00785452462285,1
"76",0,0.218218712273696,1,1
"81",0,0.120749108832614,0.874935871331055,1
"84",0,-0.0249975414589896,0.601464228262516,1
"87",0,0.122572392549843,0.916145612504897,1
"90",0,0.109456538377907,0.944650395802497,1
"91",0,-0.246273032114807,0.954342487529269,1
"97",0,0.701404022970291,1,1
"99",0,-0.135694177588664,1.00550955325774,1
"108",0,0.0132346130656896,0.974161317523057,1
"118",0,-0.650426182206067,1.00888223110562,1
"121",0,-0.267148000229418,0.802810362109116,1
"122",0,-0.151163408524235,0.927816100781045,1
"153",0,0.522639243254555,1,1
"163",0,0.736372479204272,1,1
"179",0,0.50067176014302,0.793222920122701,1
"182",0,0.23094738419128,0.882327113321311,1
"188",0,0.362718536314888,0.893895653116816,1
"194",0,0.467101419262736,0.98943237427275,1
"206",0,0.464152617204534,0.992937630137599,1
"210",0,-0.27296014339102,1,1
"211",0,0.308218859600233,0.776310326597725,1
"224",0,-0.671333104785682,1,1
"225",0,0.283843971410552,1,1
"235",0,0.283843971410552,0.738544081340733,1
"241",0,-0.979521386807658,0.925260209509074,1
"246",0,0.774098718725227,1,1
"268",0,0.283642293261352,1.04815783063824,1
"288",0,0.520887503780891,0.950661631797551,1
"305",0,0.845872867420493,0.966242832782415,1
"328",0,0.761114825444173,1,1
"333",0,0.274693679313762,0.944893012120451,1
"359",0,0.045355888416238,0.651476293960126,1
"368",0,0.0447451708381859,0.652370852351056,1
"375",0,0.836178029887604,1,1
"378",0,0.107790316735703,0.426989327309584,1
"385",0,-1.12586556695926,0.978176887301416,1
"400",0,0.779535328154103,1,1
"402",0,-0.0918367458686464,1,1
"418",0,0.457521415423869,1,1
"419",0,-0.624768827366308,0.826436375739435,1
"422",0,-0.067031451929834,0.948403649868083,1
"423",0,0.168321681315214,0.936579093014921,1
"434",0,0.57925547703391,1.00496228071676,1
"436",0,0.601744686140597,1,1
"467",0,0.808973729866707,1,1
"494",0,0.382548288689236,0.992939633838476,1
"546",0,0.522353549641333,1,1
"562",0,0.442459915324242,1,1
"563",0,0.14401897129923,0.949547163511833,1
"565",0,0.487353525080748,0.967583906185237,1
"566",0,0.0988645771559224,0.970100486366568,1
"567",0,0.560641014750089,0.99177976735075,1
"569",0,0.586524645466911,0.947369691931277,1
"597",0,0.326462332610454,1.07337958435876,1
"599",0,-0.876076544461307,1,1
"611",0,-0.0424020547269686,1,1
"615",0,0.43975697429239,1,1
"617",0,0.346319828742655,1.12580276876503,1
"681",0,0.418856175266479,0.854176873881548,1
"684",0,0.802059546145789,0.92542090932234,1
"685",0,0.734515445827813,0.980620141257926,1
"686",0,0.849145436035435,1,1
"722",0,0.681989069027372,0.651476293960126,1
"734",0,0.809119873540571,1,1
"757",0,0.456956390082633,0.976215907448817,1
"762",0,0.151529709065244,0.878509613119513,1
"770",0,0.410746017137197,0.738899341152234,1
"807",0,-0.432539144864694,1,1
"845",0,0.897080102149868,1,1
"846",0,-0.153967133750161,1,1
"847",0,-0.221535442366055,1.14195613794513,1
"848",0,0.503001996570482,0.979069839127303,1
"849",0,0.967858484722981,0.957886632766951,1
"850",0,0.906984500459217,0.985352590783809,1
"851",0,0.933337846330534,1,1
"852",0,0.929375816848618,1,1
"855",0,0.317650227428566,0.702011907838109,1
"878",0,0.442470072274343,0.978197799825762,1
"882",0,0.367878790604776,0.884870523808354,1
"883",0,0.590385022851121,1,1
"941",0,0.402913604735669,0.869225197725097,1
"945",0,-0.273722968540332,-0.560655864031205,1
"951",0,1,0.738544081340733,1
"952",0,0.761134553306177,0.934601039035808,1
"955",0,0.0832691706308268,0.965371300356394,1
"977",0,-0.27296014339102,0.305076040078068,1
"984",0,-0.30171512808524,0.890594622265764,1
"986",0,-0.0461284878984636,1.07888441308854,1
"987",0,-0.283747246522046,0.919031612822211,1
"1032",0,0.363672695144687,1,1
"1069",0,-0.234462526199091,1,1
"1070",0,0.609059310314512,1,1
"1071",0,0.156751332659111,1.00837505415583,1
"1072",0,-0.149208863239059,0.975253640890431,1
"1073",0,0.296521288448171,1.09067190605266,1
"1082",0,1,1,1
"1099",0,-0.293382856857882,0.202828571467845,1
"1155",0,0.672420445494185,0.738448290175497,1
"1226",0,1,1,1
"1231",0,0.395329327871143,1,1
"1234",0,0.0500269520481141,0.829305277230659,1
"1237",0,0.485489348993537,0.759517028459091,1
"1271",0,0.71997960509138,0.829305277230659,1
"1289",0,0.325714682756004,1.04317097568525,1
"1319",0,0.809119873540571,1,1
"1330",0,0.266539798273543,0.346556635961597,1
"1332",0,0.0450492808978284,0.738544081340733,1
"1333",0,0.810461441962891,0.964193334688114,1
"1351",0,0.426992688001211,1,1
"1417",0,0.0553122268566953,0.893872698126585,1
