no  subtraction,0.5% subtraction,1% subtraction,#ORF/Gene,number,,,,,,,,,,,,,,,,,,,,
20536,20530,20525,b0001,thrL,,,,,,,,,,,,,,,,,,,,
37017,36816,36615,b0002,thrA,,,,,,,,,,,,,,,,,,,,
14102,14026,13949,b0003,thrB,,,,,,,,,,,,,,,,,,,,
31372,31266,31161,b0004,thrC,,,,,,,,,,,,,,,,,,,,
1329,1305,1280,b0005,yaaX,,,,,,,,,,,,,,,,,,,,
9745,9681,9618,b0006,yaaA,,,,,,,,,,,,,,,,,,,,
2025,1908,1791,b0007,yaaJ,,,,,,,,,,,,,,,,,,,,
293970,293892,293814,b0008,talB,,,,,,,,,,,,,,,,,,,,
16583,16535,16487,b0009,mog,,,,,,,,,,,,,,,,,,,,
1478,1431,1385,b0010,yaaH,,,,,,,,,,,,,,,,,,,,
468,410,354,b0011,yaaW,,,,,,,,,,,,,,,,,,,,
61,31,17,b0013,yaaI,,,,,,,,,,,,,,,,,,,,
965761,965604,965447,b0014,dnaK,,,,,,,,,,,,,,,,,,,,
45747,45655,45562,b0015,dnaJ,,,,,,,,,,,,,,,,,,,,
10546,10455,10364,b0016,insL,,,,,,,,,,,,,,,,,,,,
2547,2534,2522,b4412,hokC,,,,,,,,,,,,,,,,,,,,
3615,3598,3581,b0018,mokC,,,,,,,,,,,,,,,,,,,,
13111,13015,12920,b0019,nhaA,,,,,,,,,,,,,,,,,,,,
7526,7452,7378,b0020,nhaR,,,,,,,,,,,,,,,,,,,,
631,590,549,b0021,insB,,,,,,,,,,,,,,,,,,,,
1666,1644,1621,b0022,insA,,,,,,,,,,,,,,,,,,,,
169090,169068,169047,b0023,rpsT,,,,,,,,,,,,,,,,,,,,
481,463,445,b0024,yaaY,,,,,,,,,,,,,,,,,,,,
28560,28483,28406,b0025,ribF,,,,,,,,,,,,,,,,,,,,
92483,92252,92022,b0026,ileS,,,,,,,,,,,,,,,,,,,,
10422,10381,10341,b0027,lspA,,,,,,,,,,,,,,,,,,,,
7831,7795,7758,b0028,fkpB,,,,,,,,,,,,,,,,,,,,
13480,13402,13324,b0029,ispH,,,,,,,,,,,,,,,,,,,,
7110,7035,6960,b0030,rihC,,,,,,,,,,,,,,,,,,,,
14848,14780,14713,b0031,dapB,,,,,,,,,,,,,,,,,,,,
1053,960,866,b0032,carA,,,,,,,,,,,,,,,,,,,,
3219,2956,2692,b0033,carB,,,,,,,,,,,,,,,,,,,,
1005,973,941,b0034,caiF,,,,,,,,,,,,,,,,,,,,
318,272,243,b0035,caiE,,,,,,,,,,,,,,,,,,,,
86,34,9,b0036,caiD,,,,,,,,,,,,,,,,,,,,
610,485,373,b0037,caiC,,,,,,,,,,,,,,,,,,,,
477,377,277,b0038,caiB,,,,,,,,,,,,,,,,,,,,
2093,1999,1909,b0039,caiA,,,,,,,,,,,,,,,,,,,,
469,369,314,b0040,caiT,,,,,,,,,,,,,,,,,,,,
74,18,1,b0041,fixA,,,,,,,,,,,,,,,,,,,,
85,23,2,b0042,fixB,,,,,,,,,,,,,,,,,,,,
110,25,1,b0043,fixC,,,,,,,,,,,,,,,,,,,,
26,6,0,b0044,fixX,,,,,,,,,,,,,,,,,,,,
211,119,67,b0045,yaaU,,,,,,,,,,,,,,,,,,,,
636,592,549,b0046,kefF,,,,,,,,,,,,,,,,,,,,
1949,1796,1644,b0047,kefC,,,,,,,,,,,,,,,,,,,,
3710,3671,3631,b0048,folA,,,,,,,,,,,,,,,,,,,,
3757,3688,3619,b0049,apaH,,,,,,,,,,,,,,,,,,,,
7620,7589,7558,b0050,apaG,,,,,,,,,,,,,,,,,,,,
21946,21878,21811,b0051,rsmA,,,,,,,,,,,,,,,,,,,,
21977,21896,21815,b0052,pdxA,,,,,,,,,,,,,,,,,,,,
62406,62301,62195,b0053,surA,,,,,,,,,,,,,,,,,,,,
108053,107861,107669,b0054,lptD,,,,,,,,,,,,,,,,,,,,
7839,7772,7705,b0055,djlA,,,,,,,,,,,,,,,,,,,,
2769,2716,2662,b0058,rluA,,,,,,,,,,,,,,,,,,,,
7342,7104,6866,b0059,rapA,,,,,,,,,,,,,,,,,,,,
6002,5810,5617,b0060,polB,,,,,,,,,,,,,,,,,,,,
137,81,44,b0061,araD,,,,,,,,,,,,,,,,,,,,
534,413,301,b0062,araA,,,,,,,,,,,,,,,,,,,,
151,42,5,b0063,araB,,,,,,,,,,,,,,,,,,,,
4754,4682,4610,b0064,araC,,,,,,,,,,,,,,,,,,,,
4185,4123,4060,b0065,yabI,,,,,,,,,,,,,,,,,,,,
271,214,162,b0066,thiQ,,,,,,,,,,,,,,,,,,,,
625,494,369,b0067,thiP,,,,,,,,,,,,,,,,,,,,
825,744,664,b0068,thiB,,,,,,,,,,,,,,,,,,,,
2835,2699,2564,b0069,sgrR,,,,,,,,,,,,,,,,,,,,
7119,7108,7097,b4662,sgrT,,,,,,,,,,,,,,,,,,,,
3219,3123,3026,b0070,setA,,,,,,,,,,,,,,,,,,,,
1035,986,936,b0071,leuD,,,,,,,,,,,,,,,,,,,,
1155,1041,926,b0072,leuC,,,,,,,,,,,,,,,,,,,,
870,781,692,b0073,leuB,,,,,,,,,,,,,,,,,,,,
1910,1781,1653,b0074,leuA,,,,,,,,,,,,,,,,,,,,
3226,3219,3212,b0075,leuL,,,,,,,,,,,,,,,,,,,,
1434,1357,1280,b0076,leuO,,,,,,,,,,,,,,,,,,,,
2921,2780,2639,b0077,ilvI,,,,,,,,,,,,,,,,,,,,
1065,1025,984,b0078,ilvH,,,,,,,,,,,,,,,,,,,,
47997,47915,47833,b0080,cra,,,,,,,,,,,,,,,,,,,,
17932,17894,17857,b0081,mraZ,,,,,,,,,,,,,,,,,,,,
15284,15207,15130,b0082,rsmH,,,,,,,,,,,,,,,,,,,,
12844,12814,12784,b0083,ftsL,,,,,,,,,,,,,,,,,,,,
58452,58307,58163,b0084,ftsI,,,,,,,,,,,,,,,,,,,,
16062,15940,15819,b0085,murE,,,,,,,,,,,,,,,,,,,,
13405,13294,13183,b0086,murF,,,,,,,,,,,,,,,,,,,,
15711,15623,15534,b0087,mraY,,,,,,,,,,,,,,,,,,,,
17399,17292,17184,b0088,murD,,,,,,,,,,,,,,,,,,,,
14414,14312,14211,b0089,ftsW,,,,,,,,,,,,,,division,,,,,,
11203,11116,11028,b0090,murG,,,,,,,,,,,,,,,,,,,,
17511,17390,17269,b0091,murC,,,,,,,,,,,,,,,,,,,,
17224,17149,17074,b0092,ddlB,,,,,,,,,,,,,,,,,,,,
12265,12198,12130,b0093,ftsQ,,,,,,,,,,,,,,,,,,,,
24947,24844,24740,b0094,ftsA,,,,,,,,,,,,,,,,,,,,
39946,39852,39757,b0095,ftsZ,,,,,,,,,,,,,,,,,,,,
146340,146265,146190,b0096,lpxC,,,,,,,,,,,,,,,,,,,,
33585,33543,33501,b0097,secM,,,,,,,,,,,,,,,,,,,,
141486,141265,141044,b0098,secA,,,,,,,,,,,,,,,,,,,,
1405,1373,1341,b0099,mutT,,,,,,,,,,,,,,,,,,,,
2730,2714,2697,b0101,yacG,,,,,,,,,,,,,,,,,,,,
