ref,count_1_aerobic_t30_7_Rif,count_1_aerobic_t60_1_control,count_1_aerobic_t180_6_Nor,count_1_aerobic_t30_1_control,count_1_aerobic_t180_5_Gent,count_1_aerobic_t0_1_control,count_1_aerobic_t180_1_control,freq_aerobic_t30_7_Rif,freq_aerobic_t60_1_control,freq_aerobic_t180_6_Nor,freq_aerobic_t30_1_control,freq_aerobic_t180_5_Gent,freq_aerobic_t0_1_control,freq_aerobic_t180_1_control
1,94,40,83,19,70,85,46,51.5959619,23.86995173,45.56271323,11.98185569,39.23157671,46.02645492,20.68806712
2,56,61,48,75,75,61,76,30.73801986,36.40167639,26.34952091,47.29679876,42.03383219,33.03075,34.18028481
3,21,40,35,34,45,24,54,11.52675745,23.86995173,19.21319233,21.44121544,25.22029931,12.99570492,24.28599184
4,89,78,72,91,131,94,190,48.85149584,46.54640587,39.52428136,57.3867825,73.41909356,50.89984427,85.45071203
5,79,89,44,35,66,74,89,43.36256373,53.1106426,24.1537275,22.07183942,36.98977233,40.07009017,40.02691248
6,4,4,1,6,5,4,4,2.195572847,2.386995173,0.548948352,3.783743901,2.802255479,2.16595082,1.798962359
7,27,22,22,21,18,15,16,14.82011672,13.12847345,12.07686375,13.24310365,10.08811973,8.122315575,7.195849434
8,40,58,67,96,56,52,74,21.95572847,34.61143001,36.7795396,60.53990242,31.38526137,28.15736066,33.28080363
9,47,53,52,7,38,39,77,25.79798095,31.62768604,28.54531431,4.414367885,21.29714164,21.11802049,34.6300254
10,67,53,49,94,82,92,114,36.77584519,31.62768604,26.89846926,59.27865445,45.95698986,49.81686886,51.27042722
11,22,19,15,19,18,14,22,12.07565066,11.33822707,8.234225283,11.98185569,10.08811973,7.58082787,9.894292972
12,87,131,111,77,129,105,163,47.75370942,78.17409191,60.93326709,48.55804673,72.29819137,56.85620902,73.30771611
13,11,3,3,10,6,23,11,6.037825329,1.79024638,1.646845057,6.306239835,3.362706575,12.45421721,4.947146486
14,25,19,34,18,36,39,43,13.72233029,11.33822707,18.66424397,11.3512317,20.17623945,21.11802049,19.33884535
15,86,98,66,64,87,83,132,47.20481621,58.48138174,36.23059124,40.35993494,48.75924534,44.94347951,59.36575783
16,57,63,68,47,89,71,98,31.28691307,37.59517397,37.32848795,29.63932723,49.88014753,38.44562705,44.07457778
17,45,36,26,26,29,41,83,24.70019453,21.48295656,14.27265716,16.39622357,16.25308178,22.2009959,37.32846894
