eckID,gene,JW id,direction,left nt,right nt,left nt,right nt,b number,direction,left,right,left,right,verified,colonies_tested,percent,LB_22hr,MOPS_24hr,MOPS_48hr,genetic,PEC,MG_Tn5,Score,,,,,,
ECK0001,thrL,JW4367,+,190,255,193,234,b0001,+,190,255,193,234,7,8,87.5 ,0.848 ,0.355 ,0.542 ,?,N,u,-2.5,,,,,,
ECK0002,thrA,JW0001,+,337,2799,340,2778,b0002,+,337,2799,340,2778,6,8,75.0 ,0.793 ,0.023 ,0.040 ,N,N,u,-3,,,,,,
ECK0003,thrB,JW0002,+,2801,3733,2804,3712,b0003,+,2801,3733,2804,3712,6,8,75.0 ,0.682 ,0.004 ,0.010 ,X,N,u,-2.5,,,,,,
ECK0004,thrC,JW0003,+,3734,5020,3737,4999,b0004,+,3734,5020,3737,4999,5,8,62.5 ,0.625 ,0.000 ,0.000 ,N,N,u,-3,,,,,,
ECK0005,yaaX,JW0004,+,5234,5530,5237,5509,b0005,+,5234,5530,5237,5509,8,8,100.0 ,0.836 ,0.382 ,0.469 ,N,u,u,-2,,,,,,
ECK0006,yaaA,JW0005,-,5683,6459,5704,6456,b0006,-,5683,6459,5704,6456,8,8,100.0 ,0.784 ,0.376 ,0.396 ,N,u,u,-2,,,,,,
ECK0007,yaaJ,JW0006,-,6529,7959,6550,7956,b0007,-,6529,7959,6550,7956,8,8,100.0 ,0.767 ,0.271 ,0.274 ,N,u,u,-2,,,,,,
ECK0008,talB,JW0007,+,8238,9191,8241,9170,b0008,+,8238,9191,8241,9170,8,8,100.0 ,0.788 ,0.254 ,0.169 ,N,N,u,-3,,,,,,
ECK0009,mog,JW0008,+,9306,9893,9309,9872,b0009,+,9306,9893,9309,9872,3,4,75.0 ,0.587 ,0.185 ,0.121 ,E,N,u,-2,,,,,,
ECK0010,yaaH,JW0009,-,9928,10494,9949,10491,b0010,-,9928,10494,9949,10491,3,8,37.5 ,0.801 ,0.270 ,0.283 ,N,u,u,-2,,,,,,
ECK0011,yaaW,JW0010,-,10643,11356,10664,11353,b0011,-,10643,11356,10664,11353,8,8,100.0 ,0.809 ,0.458 ,0.509 ,N,u,u,-2,,,,,,
ECK0012,htgA,JW5001,+,10830,11315,10833,11294,b0012,+,10830,11315,10833,11294,8,8,100.0 ,0.759 ,0.343 ,0.386 ,-,N,u,-2.5,,,,,,
ECK0013,yaaI,JW0012,-,11382,11786,11403,11783,b0013,-,11382,11786,11403,11783,4,8,50.0 ,0.779 ,0.388 ,0.410 ,N,u,N,-3,,,,,,
ECK0014,dnaK,JW0013,+,12163,14079,12166,14058,b0014,+,12163,14079,12166,14058,6,8,75.0 ,0.465 ,0.261 ,0.276 ,E,N,u,-2,,,,,,
ECK0015,dnaJ,JW0014,+,14168,15298,14171,15277,b0015,+,14168,15298,14171,15277,8,8,100.0 ,0.506 ,0.248 ,0.279 ,N,N,u,-3,,,,,,
ECK0016,insL,JW0015,+,15445,16557,N.T.,N.T.,b0016,+,15445,16557,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,u,N,-1.5,,,,,,
ECK0017,hokC,JW5002,-,16751,16903,16772,16900,b4412,-,16751,16903,16772,16900,3,8,37.5 ,0.712 ,0.429 ,0.474 ,-,N,u,-2.5,,,,,,
ECK0020,nhaA,JW0018,+,17489,18655,17492,18634,b0019,+,17489,18655,17492,18634,5,8,62.5 ,0.485 ,0.287 ,0.331 ,N,N,u,-3,,,,,,
ECK0021,nhaR,JW0019,+,18715,19620,18718,19599,b0020,+,18715,19620,18718,19599,4,4,100.0 ,0.738 ,0.329 ,0.398 ,N,N,u,-3,,,,,,
ECK0022,insB,JW0020,-,19811,20314,N.T.,N.T.,b0021,-,19811,20314,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,u,u,-0.5,,,,,,
ECK0023,insA,JW0021,-,20233,20508,N.T.,N.T.,b0022,-,20233,20508,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,E,u,u,0.5,,,,,,
ECK0024,rpsT,JW0022,-,20815,21078,20836,21075,b0023,-,20815,21078,20836,21075,2,8,25.0 ,0.925 ,0.268 ,0.265 ,E,N,u,-2,,,,,,
ECK0025,yaaY,JW5003,+,21181,21399,21184,21378,b0024,+,21181,21399,21184,21378,8,8,100.0 ,0.744 ,0.375 ,0.464 ,?,u,u,-1.5,,,,,,
ECK0026,ribF,JW0023,+,21407,22348,21410,22327,b0025,+,21407,22348,21410,22327,0,8,0.0 ,N.A.,N.A.,N.A.,E,N,u,1,,,,,,
ECK0027,ileS,JW0024,+,22391,25207,22394,25186,b0026,+,22391,25207,22394,25186,2,8,25.0 ,0.575 ,0.311 ,0.333 ,E,E,u,0,,,,,,
ECK0028,lspA,JW0025,+,25207,25701,25210,25680,b0027,+,25207,25701,25210,25680,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0029,fkpB,JW0026,+,25826,26275,25829,26254,b0028,+,25826,26275,25829,26254,6,8,75.0 ,0.691 ,0.154 ,0.147 ,N,u,u,-2,,,,,,
ECK0030,ispH,JW0027,+,26277,27227,26280,27206,b0029,+,26277,27227,26280,27206,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0031,rihC,JW0028,+,27293,28207,27296,28186,b0030,+,27293,28207,27296,28186,6,8,75.0 ,0.803 ,0.230 ,0.263 ,N,u,N,-3,,,,,,
ECK0032,dapB,JW0029,+,28374,29195,28377,29174,b0031,+,28374,29195,28377,29174,0,8,0.0 ,N.A.,N.A.,N.A.,E,N,u,1,,,,,,
ECK0033,carA,JW0030,+,29651,30799,29654,30778,b0032,+,29651,30799,29654,30778,6,8,75.0 ,0.663 ,0.003 ,0.002 ,N,N,u,-3,,,,,,
ECK0034,carB,JW0031,+,30817,34038,30820,34017,b0033,+,30817,34038,30820,34017,6,8,75.0 ,0.489 ,0.000 ,0.000 ,N,N,u,-3,,,,,,
none,none,JW0032,-,34086,34265,34107,34262,none,-,34086,34265,34107,34262,8,8,100.0 ,0.829 ,0.415 ,0.468 ,-,u,u,-1.5,,,,,,
ECK0035,caiF,JW0033,+,34300,34695,34303,34674,b0034,+,34300,34695,34303,34674,5,8,62.5 ,0.768 ,0.245 ,0.315 ,N,N,u,-3,,,,,,
ECK0036,caiE,JW5004,-,34781,35371,34802,35368,b0035,-,34781,35371,34802,35368,8,8,100.0 ,0.796 ,0.326 ,0.361 ,N,N,u,-3,,,,,,
ECK0037,caiD,JW0035,-,35377,36270,35398,36267,b0036,-,35377,36270,35398,36267,2,8,25.0 ,0.688 ,0.168 ,0.104 ,N,N,u,-3,,,,,,
ECK0038,caiC,JW0036,-,36271,37839,36292,37836,b0037,-,36271,37839,36292,37836,7,8,87.5 ,0.748 ,0.345 ,0.378 ,N,N,u,-3,,,,,,
ECK0039,caiB,JW0037,-,37898,39115,37919,39112,b0038,-,37898,39115,37919,39112,8,8,100.0 ,0.736 ,0.409 ,0.419 ,N,N,u,-3,,,,,,
ECK0040,caiA,JW0038,-,39244,40386,39265,40383,b0039,-,39244,40386,39265,40383,7,8,87.5 ,0.720 ,0.348 ,0.350 ,N,N,u,-3,,,,,,
ECK0041,caiT,JW0039,-,40417,41931,40438,41928,b0040,-,40417,41931,40438,41928,8,8,100.0 ,0.697 ,0.217 ,0.106 ,N,N,u,-3,,,,,,
ECK0042,fixA,JW0040,+,42403,43173,42406,43152,b0041,+,42403,43173,42406,43152,8,8,100.0 ,0.788 ,0.252 ,0.429 ,N,N,u,-3,,,,,,
ECK0043,fixB,JW0041,+,43188,44129,43191,44108,b0042,+,43188,44129,43191,44108,4,8,50.0 ,0.643 ,0.244 ,0.285 ,N,N,u,-3,,,,,,
ECK0044,fixC,JW0042,+,44180,45466,44183,45445,b0043,+,44180,45466,44183,45445,8,8,100.0 ,0.674 ,0.229 ,0.265 ,N,N,u,-3,,,,,,
ECK0045,fixX,JW0043,+,45463,45750,45466,45729,b0044,+,45463,45750,45466,45729,7,8,87.5 ,0.759 ,0.301 ,0.340 ,N,N,u,-3,,,,,,
ECK0046,yaaU,JW0044,+,45807,47138,45810,47117,b0045,+,45807,47138,45810,47117,6,8,75.0 ,0.768 ,0.341 ,0.391 ,N,N,u,-3,,,,,,
ECK0047,kefF,JW0045,+,47246,47776,47249,47755,b0046,+,47246,47776,47249,47755,5,8,62.5 ,0.758 ,0.156 ,0.142 ,N,N,u,-3,,,,,,
ECK0048,kefC,JW0046,+,47769,49631,47772,49610,b0047,+,47769,49631,47772,49610,7,8,87.5 ,0.756 ,0.363 ,0.424 ,N,N,u,-3,,,,,,
ECK0049,folA,JW0047,+,49823,50302,49826,50281,b0048,+,49823,50302,49826,50281,0,8,0.0 ,N.A.,N.A.,N.A.,E,N,u,1,,,,,,
ECK0050,apaH,JW0048,-,50380,51222,50401,51219,b0049,-,50380,51222,50401,51219,5,8,62.5 ,0.504 ,0.297 ,0.350 ,N,N,u,-3,,,,,,
ECK0051,apaG,JW0049,-,51229,51606,51250,51603,b0050,-,51229,51606,51250,51603,8,8,100.0 ,0.630 ,0.258 ,0.139 ,N,N,u,-3,,,,,,
ECK0052,ksgA,JW0050,-,51609,52430,51630,52427,b0051,-,51609,52430,51630,52427,4,8,50.0 ,0.764 ,0.282 ,0.286 ,N,N,u,-3,,,,,,
ECK0053,pdxA,JW0051,-,52427,53416,52448,53413,b0052,-,52427,53416,52448,53413,7,8,87.5 ,0.709 ,0.008 ,0.006 ,N,N,u,-3,,,,,,
ECK0054,surA,JW0052,-,53416,54702,53437,54699,b0053,-,53416,54702,53437,54699,8,8,100.0 ,0.366 ,0.255 ,0.251 ,N,N,u,-3,,,,,,
ECK0055,imp,JW0053,-,54755,57109,54776,57106,b0054,-,54755,57109,54776,57106,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0056,djlA,JW0054,+,57364,58179,57367,58158,b0055,+,57364,58179,57367,58158,4,4,100.0 ,0.786 ,0.274 ,0.320 ,N,N,u,-3,,,,,,
ECK0057,yabP,JW0055,+,58474,59124,58477,59103,b0056,+,58474,59124,58477,59103,2,8,25.0 ,0.617 ,0.242 ,0.263 ,N,u,u,-2,,,,,,
ECK0058,yabQ,JW0056,+,59121,59279,59124,59258,b0057,+,59121,59279,59124,59258,0,8,0.0 ,N.A.,N.A.,N.A.,N,u,u,1,,,,,,
ECK0059,rluA,JW0057,-,59687,60346,59708,60343,b0058,-,59687,60346,59708,60343,4,8,50.0 ,0.643 ,0.317 ,0.425 ,E,N,N,-3,,,,,,
ECK0060,hepA,JW0058,-,60358,63264,60379,63261,b0059,-,60358,63264,60379,63261,8,8,100.0 ,0.812 ,0.400 ,0.500 ,N,N,u,-3,,,,,,
ECK0061,polB,JW0059,-,63429,65780,63450,65777,b0060,-,63429,65780,63450,65777,5,8,62.5 ,0.722 ,0.401 ,0.404 ,N,N,u,-3,,,,,,
ECK0062,araD,JW0060,-,65855,66550,N.T.,N.T.,b0061,-,65855,66550,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,N,u,-1.5,,,,,,
ECK0063,araA,JW0061,-,66835,68337,N.T.,N.T.,b0062,-,66835,68337,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,N,u,-1.5,,,,,,
ECK0064,araB,JW0062,-,68348,70048,N.T.,N.T.,b0063,-,68348,70048,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,N,u,-1.5,,,,,,
ECK0065,araC,JW0063,+,70387,71265,70390,71244,b0064,+,70387,71265,70390,71244,4,4,100.0 ,0.759 ,0.300 ,0.317 ,N,N,u,-3,,,,,,
ECK0066,yabI,JW5005,+,71351,72115,71354,72094,b0065,+,71351,72115,71354,72094,8,8,100.0 ,0.795 ,0.290 ,0.318 ,N,N,u,-3,,,,,,
ECK0067,thiQ,JW0065,-,72229,72927,72250,72924,b0066,-,72229,72927,72250,72924,8,8,100.0 ,0.872 ,0.208 ,0.449 ,N,N,N,-4,,,,,,
ECK0068,thiP,JW0066,-,72911,74521,72932,74518,b0067,-,72911,74521,72932,74518,8,8,100.0 ,0.712 ,0.303 ,0.308 ,N,N,N,-4,,,,,,
ECK0069,tbpA,JW0067,-,74497,75480,74518,75477,b0068,-,74497,75480,74518,75477,6,8,75.0 ,0.772 ,0.373 ,0.389 ,N,N,u,-3,,,,,,
ECK0070,sgrR,JW0068,-,75644,77299,75665,77296,b0069,-,75644,77299,75665,77296,8,8,100.0 ,0.789 ,0.320 ,0.308 ,N,N,N,-4,,,,,,
ECK0072,setA,JW0069,+,77621,78799,77624,78778,b0070,+,77621,78799,77624,78778,8,8,100.0 ,0.695 ,0.288 ,0.287 ,N,N,u,-3,,,,,,
ECK0073,leuD,JW0070,-,78848,79453,78869,79450,b0071,-,78848,79453,78869,79450,6,8,75.0 ,0.769 ,0.032 ,0.032 ,N,N,u,-3,,,,,,
ECK0074,leuC,JW0071,-,79464,80864,79485,80861,b0072,-,79464,80864,79485,80861,6,8,75.0 ,0.761 ,0.025 ,0.015 ,N,N,u,-3,,,,,,
ECK0075,leuB,JW5807,-,80867,81958,80888,81955,b0073,-,80867,81958,80888,81955,7,8,87.5 ,0.726 ,0.018 ,0.033 ,N,N,u,-3,,,,,,
ECK0076,leuA,JW0073,-,81958,83529,81979,83526,b0074,-,81958,83529,81979,83526,3,8,37.5 ,0.779 ,0.026 ,0.034 ,N,N,u,-3,,,,,,
ECK0077,leuL,JW0074,-,83622,83708,83643,83705,b0075,-,83622,83708,83643,83705,7,8,87.5 ,0.761 ,0.031 ,0.033 ,N,N,u,-3,,,,,,
ECK0078,leuO,JW0075,+,84368,85312,84371,85291,b0076,+,84368,85312,84371,85291,4,4,100.0 ,0.756 ,0.369 ,0.400 ,N,N,u,-3,,,,,,
ECK0079,ilvI,JW0076,+,85630,87354,85633,87333,b0077,+,85630,87354,85633,87333,4,8,50.0 ,0.765 ,0.142 ,0.282 ,N,N,u,-3,,,,,,
ECK0080,ilvH,JW0077,+,87357,87848,87360,87827,b0078,+,87357,87848,87360,87827,8,8,100.0 ,0.769 ,0.189 ,0.213 ,N,N,u,-3,,,,,,
ECK0081,fruR,JW0078,+,88028,89032,88031,89011,b0080,+,88028,89032,88031,89011,4,4,100.0 ,0.627 ,0.259 ,0.280 ,N,N,u,-3,,,,,,
ECK0082,mraZ,JW0079,+,89634,90092,89637,90071,b0081,+,89634,90092,89637,90071,8,8,100.0 ,0.808 ,0.248 ,0.313 ,N,u,N,-3,,,,,,
ECK0083,mraW,JW0080,+,90094,91035,90097,91014,b0082,+,90094,91035,90097,91014,6,8,75.0 ,0.909 ,0.270 ,0.251 ,E,u,u,-1,,,,,,
ECK0084,ftsL,JW0081,+,91032,91397,91035,91376,b0083,+,91032,91397,91035,91376,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0085,ftsI,JW0082,+,91413,93179,91416,93158,b0084,+,91413,93179,91416,93158,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0086,murE,JW0083,+,93166,94653,93169,94632,b0085,+,93166,94653,93169,94632,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0087,murF,JW0084,+,94650,96008,94653,95987,b0086,+,94650,96008,94653,95987,0,8,0.0 ,N.A.,N.A.,N.A.,N,E,u,2,,,,,,
ECK0088,mraY,JW0085,+,96002,97084,96005,97063,b0087,+,96002,97084,96005,97063,0,8,0.0 ,N.A.,N.A.,N.A.,N,E,u,2,,,,,,
ECK0089,murD,JW0086,+,97087,98403,97090,98382,b0088,+,97087,98403,97090,98382,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0090,ftsW,JW0087,+,98403,99647,98406,99626,b0089,+,98403,99647,98406,99626,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0091,murG,JW0088,+,99644,100711,99647,100690,b0090,+,99644,100711,99647,100690,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0092,murC,JW0089,+,100765,102240,100768,102219,b0091,+,100765,102240,100768,102219,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0093,ddlB,JW0090,+,102233,103153,102242,103132,b0092,+,102233,103153,102242,103132,3,8,37.5 ,0.734 ,0.270 ,0.005 ,E,N,u,-2,,,,,,
ECK0094,ftsQ,JW0091,+,103155,103985,103158,103964,b0093,+,103155,103985,103158,103964,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0095,ftsA,JW0092,+,103982,105244,103985,105223,b0094,+,103982,105244,103985,105223,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0096,ftsZ,JW0093,+,105305,106456,105308,106435,b0095,+,105305,106456,105308,106435,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0097,lpxC,JW0094,+,106557,107474,106560,107453,b0096,+,106557,107474,106560,107453,0,8,0.0 ,N.A.,N.A.,N.A.,?,E,u,2.5,,,,,,
ECK0098,secM,JW5007,+,107705,108217,107708,108196,b0097,+,107705,108217,107708,108196,1,8,12.5 ,N.A.,N.A.,N.A.,E,u,N,1,,,,,,
ECK0099,secA,JW0096,+,108279,110984,108282,110963,b0098,+,108279,110984,108282,110963,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0100,mutT,JW0097,+,111044,111433,111047,111412,b0099,+,111044,111433,111047,111412,6,8,75.0 ,0.766 ,0.309 ,0.368 ,N,N,u,-3,,,,,,
ECK0101,yacG,JW5008,-,111649,111846,111670,111843,b0101,-,111649,111846,111670,111843,4,8,50.0 ,0.688 ,0.334 ,0.355 ,?,N,u,-2.5,,,,,,
ECK0102,yacF,JW0099,-,111856,112599,111877,112596,b0102,-,111856,112599,111877,112596,8,8,100.0 ,0.769 ,0.232 ,0.334 ,N,u,u,-2,,,,,,
ECK0103,coaE,JW0100,-,112599,113219,112620,113216,b0103,-,112599,113219,112620,113216,2,8,25.0 ,0.869 ,0.333 ,0.335 ,E,E,u,0,,,,,,
ECK0104,guaC,JW0101,+,113444,114487,113447,114466,b0104,+,113444,114487,113447,114466,5,8,62.5 ,0.801 ,0.214 ,0.228 ,N,N,u,-3,,,,,,
ECK0105,hofC,JW0102,-,114522,115724,114543,115721,b0106,-,114522,115724,114543,115721,6,8,75.0 ,0.731 ,0.597 ,0.903 ,N,u,u,-2,,,,,,
ECK0106,hofB,JW0103,-,115714,117099,115735,117096,b0107,-,115714,117099,115735,117096,6,8,75.0 ,0.721 ,0.378 ,0.613 ,N,u,u,-2,,,,,,
ECK0107,ppdD,JW0104,-,117109,117549,117130,117546,b0108,-,117109,117549,117130,117546,4,4,100.0 ,0.709 ,0.268 ,0.219 ,N,N,u,-3,,,,,,
ECK0108,nadC,JW0105,-,117752,118645,117773,118642,b0109,-,117752,118645,117773,118642,8,8,100.0 ,0.628 ,0.035 ,0.114 ,N,N,u,-3,,,,,,
ECK0109,ampD,JW0106,+,118733,119284,118736,119263,b0110,+,118733,119284,118736,119263,7,8,87.5 ,0.805 ,0.319 ,0.287 ,N,N,u,-3,,,,,,
ECK0110,ampE,JW0107,+,119281,120135,119284,120114,b0111,+,119281,120135,119284,120114,7,8,87.5 ,0.708 ,0.238 ,0.244 ,N,N,u,-3,,,,,,
ECK0111,aroP,JW0108,-,120178,121551,120199,121548,b0112,-,120178,121551,120199,121548,7,8,87.5 ,0.806 ,0.398 ,0.640 ,N,N,u,-3,,,,,,
ECK0112,pdhR,JW0109,+,122092,122856,122095,122835,b0113,+,122092,122856,122095,122835,4,4,100.0 ,0.778 ,0.253 ,0.203 ,N,N,u,-3,,,,,,
ECK0113,aceE,JW0110,+,123017,125680,123020,125659,b0114,+,123017,125680,123020,125659,6,8,75.0 ,0.834 ,0.353 ,0.270 ,N,N,u,-3,,,,,,
ECK0114,aceF,JW0111,+,125695,127587,125698,127566,b0115,+,125695,127587,125698,127566,5,8,62.5 ,0.771 ,0.091 ,0.296 ,E,N,u,-2,,,,,,
ECK0115,lpd,JW0112,+,127912,129336,127915,129315,b0116,+,127912,129336,127915,129315,6,8,75.0 ,0.337 ,0.061 ,0.138 ,E,N,u,-2,,,,,,
ECK0116,yacH,JW0113,-,129407,131260,129428,131257,b0117,-,129407,131260,129428,131257,8,8,100.0 ,0.742 ,0.340 ,0.481 ,N,u,N,-3,,,,,,
ECK0117,acnB,JW0114,+,131615,134212,131618,134191,b0118,+,131615,134212,131618,134191,5,8,62.5 ,0.704 ,0.331 ,0.387 ,N,N,u,-3,,,,,,
ECK0118,yacL,JW0115,+,134388,134750,134391,134729,b0119,+,134388,134750,134391,134729,7,8,87.5 ,0.718 ,0.251 ,0.330 ,N,u,N,-3,,,,,,
ECK0119,speD,JW0116,-,134788,135582,134809,135579,b0120,-,134788,135582,134809,135579,7,8,87.5 ,0.734 ,0.274 ,0.274 ,N,N,u,-3,,,,,,
ECK0120,speE,JW0117,-,135598,136464,135619,136461,b0121,-,135598,136464,135619,136461,7,8,87.5 ,0.867 ,0.260 ,0.331 ,N,N,u,-3,,,,,,
ECK0121,yacC,JW0118,-,136570,136917,136591,136914,b0122,-,136570,136917,136591,136914,8,8,100.0 ,0.780 ,0.332 ,0.358 ,E,u,N,-2,,,,,,
ECK0122,cueO,JW0119,+,137083,138633,137086,138612,b0123,+,137083,138633,137086,138612,6,8,75.0 ,0.815 ,0.241 ,0.262 ,N,u,u,-2,,,,,,
ECK0123,gcd,JW0120,-,138835,141225,138856,141222,b0124,-,138835,141225,138856,141222,4,4,100.0 ,0.801 ,0.300 ,0.317 ,N,N,u,-3,,,,,,
ECK0124,hpt,JW5009,+,141431,141967,141434,141946,b0125,+,141431,141967,141434,141946,5,8,62.5 ,0.576 ,0.254 ,0.309 ,N,N,u,-3,,,,,,
ECK0125,can,JW0122,-,142008,142670,142029,142667,b0126,-,142008,142670,142029,142667,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0126,yadG,JW0123,+,142779,143705,142782,143684,b0127,+,142779,143705,142782,143684,5,8,62.5 ,0.736 ,0.416 ,0.673 ,N,N,u,-3,,,,,,
