ORF ID,Gene Name,Class(1:essential 2:nonessential 3:unknown),Alternative Name,Map Position,Start(BP),End(BP),Length,Direction(0:+ 1:-),Ncbi ID,Product,Swissprot Acc No,Note
25,ribF,1,"b0025,ECK0026,JW0023,o312,yaaC",0.461389989,"21,407","22,348",942,0,1786208,bifunctional riboflavin kinase/FAD synthetase,P08391; P75621;,GO_component: GO:0005737 - cytoplasm
27,ileS,1,"b0026,ECK0027,ilvS,JW0024",0.482598007,"22,391","25,207","2,817",0,2367096,isoleucyl-tRNA synthetase,"P00956; P78038; Q59429;,Q8FLB7;,Q8XA49;",isoleucine tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
28,lspA,1,"b0027,ECK0028,JW0025",0.543291986,"25,207","25,701",495,0,1786210,prolipoprotein signal peptidase (signal peptidase II),"P00804;,Q8FLB6;,Q8XA48;",prolipoprotein signal peptidase (SPase II); GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
30,ispH,1,"b0029,ECK0030,JW0027,lytB,yaaE",0.566353977,"26,277","27,227",951,0,1786212,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein","P62623; P22565;,P62624; P22565;,P62625; P22565;",GO_component: GO:0005737 - cytoplasm; GO_process: GO:0042493 - response to drug
32,dapB,1,"b0031,ECK0032,JW0029",0.611550987,"28,374","29,195",822,0,1786214,dihydrodipicolinate reductase,"P04036;,P58209;,Q8FLB4;",GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009089 - lysine biosynthetic process via diaminopimelate
49,folA,1,"b0048,ECK0049,JW0047,tmrA",1.073850036,"49,823","50,302",480,0,1786233,dihydrofolate reductase,P00379;,dihydrofolate reductase type I; trimethoprim resistance; GO_process: GO:0046656 - folic acid biosynthetic process
55,lptD,1,"b0054,ECK0055,imp,JW0053,ostA,yabG",1.180150032,"54,755","57,109","2,355",1,1786239,"LPS assembly OM complex LptDE, beta-barrel component","P31554; P75631;,Q8CWE6;,Q8XA13;",organic solvent tolerance; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
84,ftsL,1,"b0083,ECK0084,JW0081,mraR,pbpB,yabD",1.962030053,"91,032","91,397",366,0,1786271,membrane bound cell division protein at septum containing leucine zipper motif,P22187; Q8KMX6;,cell division protein; ingrowth of wall at septum
85,ftsI,1,"b0084,ECK0085,JW0082,pbpB,sep",1.97025001,"91,413","93,179","1,767",0,1786272,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),"P04286;,Q8CWE4;",septum formation; penicillin-binding protein 3; peptidoglycan synthetase; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process; GO_process: GO:0042493 - response to drug
86,murE,1,"b0085,ECK0086,JW0083",2.008029938,"93,166","94,653","1,488",0,1786273,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase,"P22188; O07101;,Q8FL67;,Q8X9Z2;",GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_process: GO:0009252 - peptidoglycan biosynthetic process
